solver,n,status,num_knights,placement,solve_time,nodes_explored,upper_bound,lower_bound,timestamp,nodes_pruned_bound,nodes_pruned_infeasible,nodes_integer,branch_order,solve_time_std,nodes_std
breadth_first_most_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.477663,209,7,5.5,2026-06-02T12:45:43.255086,148,0,31,three_way,0.0,0.0
breadth_first_first_fractional,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.379358,197,7,5.5,2026-06-02T12:45:43.634466,126,0,36,zero_first,0.0,0.0
breadth_first_first_fractional,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.415436,197,7,5.5,2026-06-02T12:45:44.050853,126,0,36,lp_guided,0.0,0.0
breadth_first_first_fractional,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.368898,197,7,5.5,2026-06-02T12:45:44.419594,126,0,36,three_way,0.0,0.0
breadth_first_least_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.399803,233,7,5.5,2026-06-02T12:45:44.819396,108,0,63,zero_first,0.0,0.0
breadth_first_least_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.396281,233,7,5.5,2026-06-02T12:45:45.216594,108,0,63,lp_guided,0.0,0.0
breadth_first_least_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.61231,233,7,5.5,2026-06-02T12:45:45.828930,108,0,63,three_way,0.0,0.0
breadth_first_most_coverage,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.108341,39,7,5.5,2026-06-02T12:45:45.937484,16,0,12,zero_first,0.0,0.0
breadth_first_most_coverage,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.094451,39,7,5.5,2026-06-02T12:45:46.032566,16,0,12,lp_guided,0.0,0.0
breadth_first_most_coverage,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.071616,39,7,5.5,2026-06-02T12:45:46.105020,16,0,12,three_way,0.0,0.0
best_first_most_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.046883,427,8,6.0,2026-06-02T12:45:47.151875,282,0,73,zero_first,0.0,0.0
